MJIC,MJC Investments Corporation,3 (0.00%),3,4.01 (33.67%),3,"1,500.00",
MPI,Metro Pacific Investments Corporation,4.61 (-0.22%),4.62,6.91 (49.89%),4.2,13.362,0.03 (0.65%)
MRC,"MRC Allied, Inc.",0.35 (0.00%),0.35,0.94 (168.57%),0.285,11.667,
MRP,Melco Resorts and Entertainment (Phils.),7.13 (0.00%),7.13,9.27 (30.01%),5.02,,
MRSGI,"Metro Retail Stores Group, Inc.",1.99 (-1.97%),2.03,4 (101.01%),1.91,,0.05 (2.51%)
MVC,Mabuhay Vinyl Corporation,3.36 (0.00%),3.36,4 (19.05%),3,25.846,0.07 (2.08%)
MWC,"Manila Water Company, Inc.",25 (0.00%),25,29.45 (17.80%),23.35,10.373,0.42 (1.68%)
MWIDE,Megawide Construction Corporation,16.9 (-0.94%),17.06,25 (47.93%),14.02,41.22,0.05 (0.30%)
MWP,Megawide Const. Corp. - Perpetual Pref.,99.5 (0.00%),99.5,109.6 (10.15%),95.1,,5.27 (5.30%)
NI,"NiHAO Minerals Resources Int'l, Inc.",1.01 (0.00%),1.01,1.78 (76.24%),0.95,33.667,
NIKL,Nickel Asia Corporation,1.94 (0.00%),1.94,3.9 (101.03%),1.89,7.185,
NOW,Now Corporation,2.97 (-1.00%),3,20 (573.40%),1.85,,
NRCP,National Reinsurance Corp. of the Phils.,0.76 (0.00%),0.76,1.93 (153.95%),0.73,9.048,
OM,Omico Corporation,0.52 (0.00%),0.52,0.78 (50.00%),0.405,-21.887,
OPM,"Oriental Pet. and Minerals Corp. ""A""",0.012 (-7.69%),0.013,0.014 (16.67%),0.011,13.333,
OPMB,"Oriental Pet. and Minerals Corp. ""B""",0.013 (8.33%),0.012,0.014 (7.69%),0.012,14.444,
ORE,"Oriental Peninsula Resources Group, Inc.",0.88 (-2.22%),0.9,1.53 (73.86%),0.81,4.916,
OV,The Philodrill Corporation,0.012 (0.00%),0.012,0.013 (8.33%),0.011,20.00,
PA,"Pacifica, Inc.",0.034 (0.00%),0.034,0.053 (55.88%),0.03,-377.778,
PAL,PAL Holdings Inc.,7.8 (0.00%),7.8,12.56 (61.03%),7.5,,
PAX,"Paxys, Inc.",3.5 (0.00%),3.5,4.21 (20.29%),2.72,1.699,
PBB,Philippine Business Bank,11.04 (-0.54%),11.1,13.7 (24.09%),10.8,27.60,
PBC,Philippine Bank of Communications,20 (0.00%),20,26 (30.00%),16.9,29.412,
PCOR,Petron Corporation,7.7 (-0.26%),7.72,9.86 (28.05%),7.66,51.333,
PERC,Petroenergy Resources Corporation,3.93 (-1.75%),4,6.23 (58.52%),3.6,10.917,
PGOLD,"Puregold Price Club, Inc.",42.5 (-0.12%),42.55,55.05 (29.53%),39.6,23.481,0.40 (0.94%)
PHA,Premiere Horizon Alliance Corporation,0.32 (0.00%),0.32,0.53 (65.63%),0.3,10.39,
PHEN,PHINMA Energy Corporation,0.94 (1.08%),0.93,1.89 (101.06%),0.85,4.947,
PHES,Phil. Estates Corporation,0.465 (5.68%),0.44,0.6 (29.03%),0.295,465.00,
PHN,Phinma Corporation,8.65 (-1.48%),8.78,9.68 (11.91%),7.5,5.805,
PIP,"Pepsi-Cola Products Philippines, Inc.",1.36 (-5.56%),1.44,3.1 (127.94%),1.36,6.182,0.07 (5.15%)
PIZZA,"Shakey's Pizza Asia Ventures, Inc.",9.97 (-0.10%),9.98,17.48 (75.33%),9.8,,0.10 (1.00%)
PLC,Premium Leisure Corp.,0.64 (-3.03%),0.66,1.45 (126.56%),0.62,,
PMPC,Panasonic Manufacturing Phils. Corp.,6.1 (5.17%),5.8,10 (63.93%),5.16,15.641,0.70 (11.48%)
PNB,Philippine National Bank,39.65 (-0.25%),39.75,59.9 (51.07%),38.95,8.108,
PNX,"Phoenix Petroleum Philippines, Inc.",10.8 (-1.82%),11,13.84 (28.15%),10.1,18.00,0.10 (0.93%)
PNX3A,Phoenix Petroleum - Non-Voting Pref. 3A,102.2 (3.23%),99,105.7 (3.42%),99,,5.57 (5.45%)
PNX3B,Phoenix Petroleum - Non-Voting Pref. 3B,102 (-2.86%),105,115 (12.75%),101.2,,6.08 (5.96%)
POPI,"Prime Orion Philippines, Inc.",2.36 (-3.67%),2.45,4.1 (73.73%),2.04,26.222,
PORT,"Globalport 900, Inc.",7.3 (0.00%),7.3,14.48 (98.36%),5.1,,
PPC,Pryce Corporation,5.18 (0.00%),5.18,7.07 (36.49%),5.1,,
PPG,"Phinma Petroleum and Geothermal, Inc.",3.84 (-1.54%),3.9,4.83 (25.78%),1.88,,
PRC,"Philippine Racing Club, Inc.",8 (0.00%),8,11.98 (49.75%),7.7,9.639,
PRF2A,Petron Corp. - Perpetual Pref. Series 2A,990 (0.00%),990,1075 (8.59%),990,,47.25 (4.77%)
PRF2B,Petron Corp. - Perpetual Pref. Series 2B,999 (0.00%),999,1175 (17.62%),999,,51.44 (5.15%)
PRIM,"Prime Media Holdings, Inc.",1.15 (0.00%),1.15,1.68 (46.09%),1.02,,
PRMX,Primex Corporation,3.6 (0.00%),3.6,6.86 (90.56%),2.48,23.166,
PSB,Philippine Savings Bank,74.9 (-0.07%),74.95,90 (20.16%),70,7.651,2.25 (3.00%)
PSE,"The Philippine Stock Exchange, Inc",173 (-2.81%),178,259.8 (50.17%),173,18.582,7.00 (4.05%)
PTC,Philippine Trust Company,105 (0.00%),105,220 (109.52%),95,101.942,0.20 (0.19%)
PX,Philex Mining Corporation,2.66 (-1.12%),2.69,7.35 (176.32%),2.65,14.696,0.04 (1.50%)
PXP,PXP Energy Corporation,14.66 (-14.87%),17.22,19.7 (34.38%),7.09,52.357,
RCB,Rizal Commercial Banking Corp.,28.5 (-0.87%),28.75,55.96 (96.35%),24.85,9.283,0.55 (1.93%)
RCI,"Roxas and Company, Inc.",2 (5.26%),1.9,4.95 (147.50%),1.82,28.571,
REG,Republic Glass Holdings Corp.,2.68 (0.00%),2.68,5.85 (118.28%),2.47,13.40,0.08 (2.99%)
